notation,hierarcylevel,type,prefLabel@de,prefLabel@en,prefLabel@fr,altLabel@de,altLabel@en,altLabel@fr,definition@de,broader,related,source,creator,exactMatch,closeMatch,relatedMatch,broadMatch,narrowMatch,seeAlso
D51GAA,11.0,Q2,Ziegenhaar,,,,,,tierische Fasern aus den Haaren der Hausziege,F8DFCG,,DIN EN ISO 6938,LEIZA,,https://vocab.getty.edu/aat/300011818,,,,
G43GG2,11.0,Q2,Pferdehaar,,,Rosshaar,,,"tierische Fasern aus dem Fell, der MÃ¤hne oder dem Schweif des Pferdes",F8DFCG,,DIN EN ISO 6938,LEIZA,,https://cameo.mfa.org/wiki/Horsehair | https://vocab.getty.edu/aat/300011819,,,,
G593G4,11.0,Q2,Wildschweinborsten,,,,,,"tierische Fasern aus den Haaren des Wildschweines, mit auÃergewÃ¶hnlich krÃ¤ftigen und harten Erscheinungsform im Vergleich zu Haaren anderer Tierarten.",F8DFCG,,,LEIZA,,,,,,
F6F797,8.0,Q2,Seide,,,,,,"feine, glÃ¤nzende Naturfaser, die aus den Kokons von Seidenspinnern, wie dem domestizierten Bombyx mori, ausgeschieden und zu Geweben verarbeitet wird. ",AB4988,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,,,,
G16647,9.0,Q2,Tussahseide,,,,,,"Seide, die aus den Kokons des Tussahspinners (Antheraea mit diversen Unterarten) hergestellt wird.",F6F797,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,,,,
G21F5B,9.0,Q2,Muschelseide,,,,,,"Seide, die durch das Sekret bestimmter Muscheln (Steckmuschel â Pinna nobilis) hergestellt wird..",F6F797,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,,,,
B6443F,8.0,Q2,Feder,feather,,,,,"tierische, oft bunte Keratinstruktur, welche aus der Haut von VÃ¶gen gebildet wird und als Federkleid die Ã¤uÃerste Hauptbedeckung von VÃ¶geln bildet. ",AB4988,,https://de.wikipedia.org/wiki/Feder,,,,,,,
F3G8D1,6.0,Q2,Materialien pflanzlichen Ursprungs,,,,,,Ãberbegriff fÃ¼r Materialien die aus Pflanzen gewonnen werden.,CD3341,,,LEIZA,,,,,,
G465BG,7.0,Q2,Samen,seed,,,,,"organisches Material aus der fÃ¼r die Ausbreitung dienenden Gebewebestruktur von Pflanzen, bestehend aus Samenschale, Embryo und NÃ¤hrgewebe. ",F3G8D1,,,,,,,,,
DD9C25,8.0,Q2,pflanzliche Fasern,plant fibres,,Pflanzenfasern,,,"NatÃ¼rliche Fasern, die aus pflanzlichem Material gewonnen und fÃ¼r verschiedene Anwendungen, wie Textilien, Seilen, KÃ¶rben, SchnÃ¼ren oder Matten, verwendet wurden. ",F3G8D1,,"DIN EN ISO 6938 |Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 73 - 126.",LEIZA,,,,,,
BC685F,9.0,Q2,Flachs,,,,,,"natÃ¼rliche Stengelfaser, die aus der Leinpflanze (Linum usitatissimum) durch verschiedene Bearbeitungsschritte gewonnen wird. ",DD9C25,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken ,LEIZA,,,,,,
GB5A92,10.0,Q2,Leinen,,,,,,Materialbezeichnung fÃ¼r Garn- und Stoffprodukte bestehend aus Flachsfasern. ,BC685F,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,,,,
A2159C,9.0,Q2,Bast,,,Rindenbast,,,"natÃ¼rliche, lange Fasern pflanzlicher Herkunft, die auf Rinden, Stengeln, BlÃ¤ttern oder Fruchtschalen gewonnen werden.",DD9C25,,CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,,,,,
A5G856,9.0,Q2,Baumwolle,cotton,,Baumwollfaser,,,"natÃ¼rliche, einzellige Fasern aus den Samen der Baumwollpflanze (Gossypium)",DD9C25,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken ,LEIZA,,https://vocab.getty.edu/aat/300183670 | https://cameo.mfa.org/wiki/Cotton,,,,
C3AF5A,9.0,Q2,Hanf,hemp,,,,,"natÃ¼rliche Stengelfaser, gewonnen aus dem Bast der Hanfpflanze (Cannabis sativa) durch verschiedene Bearbeitungsschritte",DD9C25,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken ,LEIZA,,,,,,
G8533D,9.0,Q2,Kapok,,,,,,aus den SamenhÃ¼lsen des Kapokbaumes bestehende natÃ¼rliche Fasern,DD9C25,,DIN EN ISO 6938,LEIZA,,,,,,
AG4634,9.0,Q2,Jute,,,,,,"natÃ¼rliche Stengelfaser, die aus den Pflanzen der Corchorusarten (Corchorus capsularis und Corchorus olitorius)  gewonnen wird.",DD9C25,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken ,LEIZA,,,,,,
GFDB57,9.0,Q2,Stroh,straw,,,,,"getrocknete Halme pflanzlicher Fasern, die fÃ¼r eine Vielzahl unterschiedlicher Zwecke verwendet werden, z.B. zum Weben, Flechten oder als Magerungsmittel fÃ¼r Ton",DD9C25,,,,,,,,,
D53ADA,9.0,Q2,Papyrus,,,,,,,DD9C25,,,LEIZA,,,,,,
C2FCA7,7.0,Q2,Rinde,bark,,,,,"natÃ¼rliches Material, welches als Ã¤uÃerste Schicht die holzigen Teile von BÃ¤umen bedeckt. ",F3G8D1,,,,,,,,,
